Домен,URL статьи,Слаг рубрики,Слаг записи,Дата,Анкор,Целевая ссылка,Денежная,Тема,Точный URL
yellodigital.ru,https://yellodigital.ru/professija-i-obuchenie/professionalnaja-perepodgotovka-glavnye-otvety/,professija-i-obuchenie,professionalnaja-perepodgotovka-glavnye-otvety,2026-06-04,профессиональная переподготовка,https://aso-cdo.ru/tyumen/professionalnaya-perepodgotovka/,да,,да
yellodigital.ru,https://yellodigital.ru/?p=132,,,2026-06-06,Закон об образовании,https://www.consultant.ru/document/cons_doc_LAW_140174/,,Как государство регулирует дополнительное образование,"нет: адрес вида ?p=ID, слаг не восстановить"
yellodigital.ru,https://yellodigital.ru/?p=133,,,2026-06-07,,,,Как выбрать направление переподготовки по душе,"нет: адрес вида ?p=ID, слаг не восстановить"
yellodigital.ru,https://yellodigital.ru/?p=134,,,2026-06-09,Росстат,https://rosstat.gov.ru/,,Какие профессии сегодня нужны рынку труда,"нет: адрес вида ?p=ID, слаг не восстановить"
yellodigital.ru,https://yellodigital.ru/?p=135,,,2026-06-10,,,,Переподготовка: реальные сроки и результаты,"нет: адрес вида ?p=ID, слаг не восстановить"
yellodigital.ru,https://yellodigital.ru/roboty-na-meroprijatijah/robot-hudozhnik-na-meroprijatie-vybor-bez-pereplat/,roboty-na-meroprijatijah,robot-hudozhnik-na-meroprijatie-vybor-bez-pereplat,2026-08-18,робот художник на мероприятие,https://divent.ru/uslugi/robot-hudozhnik/,да,,да
yellodigital.ru,https://yellodigital.ru/roboty-na-meroprijatijah/skolko-stoit-arenda-robota-na-meroprijatie/,roboty-na-meroprijatijah,skolko-stoit-arenda-robota-na-meroprijatie,2026-08-22,аренда робота на мероприятие,https://divent.ru/uslugi/roboty/,да,,да
доступныйсервис.рф,https://xn--b1addncxgimfdeeo6j.xn--p1ai/?p=123,,,2026-05-28,,,,Чем курсы переподготовки отличаются от вузовских программ,"нет: адрес вида ?p=ID, слаг не восстановить"
доступныйсервис.рф,https://xn--b1addncxgimfdeeo6j.xn--p1ai/?p=124,,,2026-05-29,,,,Как устроены программы дополнительного образования,"нет: адрес вида ?p=ID, слаг не восстановить"
доступныйсервис.рф,https://xn--b1addncxgimfdeeo6j.xn--p1ai/?p=125,,,2026-05-31,Рособрнадзор,https://obrnadzor.gov.ru/,,Документ о квалификации: что он даёт выпускнику,"нет: адрес вида ?p=ID, слаг не восстановить"
доступныйсервис.рф,https://xn--b1addncxgimfdeeo6j.xn--p1ai/?p=126,,,2026-06-02,курсы профессиональной переподготовки,https://aso-cdo.ru/tyumen/professionalnaya-perepodgotovka/,да,Курсы профессиональной переподготовки: как выбрать,"нет: адрес вида ?p=ID, слаг не восстановить"
доступныйсервис.рф,https://xn--b1addncxgimfdeeo6j.xn--p1ai/kursy-i-programmy/kak-vybrat-kursy-profperepodgotovki/,kursy-i-programmy,kak-vybrat-kursy-profperepodgotovki,2026-06-02,курсы профессиональной переподготовки,https://aso-cdo.ru/tyumen/professionalnaya-perepodgotovka/,да,,да
доступныйсервис.рф,https://xn--b1addncxgimfdeeo6j.xn--p1ai/?p=127,,,2026-06-04,Росстат,https://rosstat.gov.ru/,,Востребованные направления переобучения,"нет: адрес вида ?p=ID, слаг не восстановить"
доступныйсервис.рф,https://xn--b1addncxgimfdeeo6j.xn--p1ai/?p=128,,,2026-06-05,,,,Дистанционные курсы переподготовки: за и против,"нет: адрес вида ?p=ID, слаг не восстановить"
доступныйсервис.рф,https://xn--b1addncxgimfdeeo6j.xn--p1ai/vypusknye-v-ekaterinburge-oformlenie-fotozon/kak-vybrat-fotozonu-na-vypusknoj-v-ekaterinburge/,vypusknye-v-ekaterinburge-oformlenie-fotozon,kak-vybrat-fotozonu-na-vypusknoj-v-ekaterinburge,2026-06-11,фотозона на выпускной в Екатеринбурге,https://divent.ru/ekb/uslugi/fotozony-na-vipusknoy/,да,,да
стандарт72.рф,https://xn--72-6kcat7cxadjf.xn--p1ai/?p=100,,,2026-05-27,,,,Почему взрослому человеку полезно переобучаться,"нет: адрес вида ?p=ID, слаг не восстановить"
стандарт72.рф,https://xn--72-6kcat7cxadjf.xn--p1ai/?p=101,,,2026-05-29,профессиональная переподготовка,https://ru.wikipedia.org/wiki/Профессиональная_переподготовка,,Образование для взрослых: мировой опыт,"нет: адрес вида ?p=ID, слаг не восстановить"
стандарт72.рф,https://xn--72-6kcat7cxadjf.xn--p1ai/?p=102,,,2026-05-30,переподготовка,https://aso-cdo.ru/tyumen/professionalnaya-perepodgotovka/,да,Переподготовка: как получить новую профессию быстро,"нет: адрес вида ?p=ID, слаг не восстановить"
стандарт72.рф,https://xn--72-6kcat7cxadjf.xn--p1ai/pereobuchenie-vzroslyh/perepodgotovka-novaja-professija-v-korotkij-srok/,pereobuchenie-vzroslyh,perepodgotovka-novaja-professija-v-korotkij-srok,2026-05-30,переподготовка,https://aso-cdo.ru/tyumen/professionalnaya-perepodgotovka/,да,,да
стандарт72.рф,https://xn--72-6kcat7cxadjf.xn--p1ai/?p=103,,,2026-06-01,,,,Сколько времени нужно на освоение новой профессии,"нет: адрес вида ?p=ID, слаг не восстановить"
стандарт72.рф,https://xn--72-6kcat7cxadjf.xn--p1ai/?p=104,,,2026-06-03,HeadHunter,https://hh.ru/,,Где найти работу после переобучения,"нет: адрес вида ?p=ID, слаг не восстановить"
стандарт72.рф,https://xn--72-6kcat7cxadjf.xn--p1ai/?p=105,,,2026-06-04,,,,Как не бросить учёбу на полпути,"нет: адрес вида ?p=ID, слаг не восстановить"
стандарт72.рф,https://xn--72-6kcat7cxadjf.xn--p1ai/svetodiodnye-fotozony-preimushhestva-dlja-event/kak-vybrat-led-fotozonu-v-arendu/,svetodiodnye-fotozony-preimushhestva-dlja-event,kak-vybrat-led-fotozonu-v-arendu,2026-06-09,светодиодная фотозона аренда,https://divent.ru/uslugi/svetodiodnaya-uglovaya-led-fotozona/,да,,да
